               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   831.469903  236.448152  173.206046  206.822424   81.702705   64.734815   53.803825  81.291421  76.918021   79.984660  111.705884  74.681949  7.961566  4.733398
0.5   828.000624  241.214271  178.457734  214.049355   85.055682   68.841209   58.634628  82.350112  78.064893   81.317281  116.429551  75.723276  8.059044  4.756331
1.0   824.628608  245.855863  183.480667  220.916756   88.314252   72.801448   63.267299  83.349372  79.132228   82.602739  120.961842  76.706011  8.149918  4.777328
1.5   821.347062  250.381327  188.291091  227.450600   91.484733   76.625674   67.715777  84.293552  80.125946   83.844341  125.318608  77.635285  8.235041  4.796614
2.0   818.152553  254.794976  192.897233  233.664013   94.570377   80.319061   71.987139  85.184842  81.049015   85.043767  129.506778  78.513131  8.314674  4.814264
2.5   815.040072  259.103044  197.311085  239.576150   97.575875   83.889118   76.091686  86.026446  81.905788   86.203462  133.537407  79.342986  8.389345  4.830421
3.0   812.004825  263.311502  201.544123  245.205340  100.505722   87.343031   80.039274  86.821428  82.700429   87.325766  137.421009  80.128116  8.459549  4.845220
3.5   809.043975  267.423918  205.603139  250.562413  103.362615   90.685079   83.835753  87.571593  83.435380   88.412066  141.163200  80.870219  8.525494  4.858720
4.0   806.153455  271.445378  209.497873  255.662919  106.150383   93.921374   87.489496  88.279537  84.114166   89.464350  144.772628  81.571952  8.587558  4.871027
4.5   803.329552  275.380525  213.237214  260.521047  108.872528   97.057499   91.008147  88.947629  84.740000   90.484432  148.257096  82.235712  8.646077  4.882235
5.0   800.570009  279.232204  216.826560  265.145400  111.531204  100.096862   94.396362  89.577299  85.314814   91.473416  151.620944  82.862833  8.701202  4.892389
5.5   797.871652  283.004399  220.273514  269.548104  114.129419  103.044247   97.660685  90.170567  85.841349   92.432855  154.870676  83.455307  8.753194  4.901564
6.0   795.231219  286.701197  223.585878  273.741611  116.670256  105.904560  100.807831  90.729509  86.322417   93.364342  158.012981  84.015188  8.802327  4.909837
6.5   792.647035  290.324715  226.767656  277.732296  119.155328  108.680342  103.841260  91.255181  86.759443   94.268696  161.050954  84.543438  8.848697  4.917239
7.0   790.116741  293.877920  229.824489  281.529151  121.586883  111.375153  106.765837  91.749078  87.154447   95.147070  163.989239  85.041489  8.892475  4.923819
7.5   787.637209  297.364743  232.763869  285.144126  123.967886  113.993709  109.588011  92.213190  87.510129   96.000994  166.834165  85.511282  8.933909  4.929651
8.0   785.207236  300.786700  235.588655  288.581770  126.299504  116.537833  112.310262  92.648267  87.827493   96.831053  169.587843  85.953486  8.973057  4.934752
8.5   782.824940  304.146161  238.303343  291.849246  128.583537  119.010371  114.936472  93.055495  88.108144   97.638167  172.253877  86.369218  9.010043  4.939159
9.0   780.488032  307.446008  240.913408  294.955279  130.822171  121.414780  117.471365  93.436325  88.354042   98.423454  174.836732  86.759857  9.045029  4.942922
9.5   778.194800  310.688396  243.422934  297.906375  133.017045  123.753649  119.918467  93.791834  88.566640   99.187749  177.339648  87.126412  9.078123  4.946072
10.0  775.944045  313.874835  245.834776  300.707076  135.169320  126.028795  122.280257  94.122771  88.746945   99.931636  179.764788  87.469565  9.109390  4.948630
10.5  773.734217  317.007278  248.152632  303.363267  137.280486  128.242566  124.559929  94.430107  88.896268  100.655870  182.115053  87.790222  9.138924  4.950625
11.0  771.563208  320.088379  250.381537  305.882976  139.352558  130.398145  126.761832  94.715176  89.016409  101.361481  184.394487  88.089637  9.166867  4.952100
11.5  769.430188  323.119181  252.523455  308.269319  141.386346  132.496791  128.887674  94.978486  89.108049  102.048870  186.604513  88.368265  9.193253  4.953065
12.0  767.333966  326.101186  254.581224  310.526811  143.383002  134.540312  130.939915  95.220782  89.172190  102.718618  188.747300  88.626788  9.218149  4.953543
12.5  765.273229  329.036045  256.557966  312.660420  145.343790  136.530693  132.921258  95.442884  89.209934  103.371363  190.825255  88.865964  9.241630  4.953556
13.0  763.246264  331.925915  258.457771  314.676660  147.270357  138.470526  134.835241  95.645868  89.222735  104.007940  192.841592  89.086794  9.263801  4.953136
13.5  761.252530  334.771478  260.281908  316.577541  149.163236  140.360634  136.682972  95.830061  89.211024  104.628609  194.797180  89.289561  9.284680  4.952289
14.0  759.290990  337.574038  262.032842  318.366982  151.023433  142.202588  138.466592  95.996106  89.175667  105.233874  196.693879  89.474855  9.304322  4.951033
14.5  757.360566  340.334954  263.713135  320.049058  152.851992  143.998022  140.188322  96.144674  89.117564  105.824259  198.533632  89.643288  9.322783  4.949386
15.0  755.459820  343.056033  265.326210  321.629216  154.650297  145.749112  141.851126  96.276664  89.037926  106.400463  200.319078  89.795688  9.340147  4.947372
15.5  753.588341  345.737794  266.873029  323.108977  156.418760  147.456483  143.455849  96.392319  88.937075  106.962684  202.050860  89.932268  9.356424  4.944998
16.0  751.745274  348.381315  268.355617  324.491558  158.158211  149.121431  145.004250  96.492168  88.815717  107.511334  203.730480  90.053503  9.371657  4.942274
16.5  749.929765  350.987672  269.775999  325.780177  159.869483  150.745251  146.498090  96.576736  88.674559  108.046829  205.359444  90.159873  9.385887  4.939216
17.0  748.140569  353.558428  271.137134  326.979542  161.553777  152.329829  147.939935  96.646800  88.514642  108.569773  206.940000  90.252087  9.399181  4.935843
17.5  746.377292  356.094083  272.439942  328.091105  163.211487  153.875762  149.330590  96.702593  88.336276  109.080355  208.472773  90.330349  9.411553  4.932161
18.0  744.639280  358.595464  273.685972  329.117326  164.843254  155.384044  150.671405  96.744514  88.139996  109.578891  209.958887  90.395017  9.423030  4.928178
18.5  742.925825  361.063462  274.876892  330.060855  166.449769  156.855748  151.963833  96.772998  87.926380  110.065724  211.399562  90.446483  9.433646  4.923905
19.0  741.236022  363.499218  276.014852  330.925105  168.031913  158.292247  153.209740  96.788604  87.696177  110.541291  212.796396  90.485252  9.443445  4.919356
19.5  739.569216  365.903556  277.101395  331.712525  169.590326  159.694531  154.410472  96.791730  87.449921  111.005910  214.150510  90.511684  9.452457  4.914540
20.0  737.925021  368.276970  278.137426  332.424550  171.125394  161.063190  155.566822  96.782607  87.187918  111.459766  215.462527  90.525980  9.460693  4.909462
20.5  736.302851  370.620201  279.124328  333.063374  172.637691  162.399113  156.679993  96.761593  86.910644  111.903143  216.733443  90.528461  9.468180  4.904130
