P               v        c11s        c22s        c33s       c12s       c13s       c23s       c44s       c55s       c66s      c24s      c15s       B_vrh      G_vrh       v_s       v_p
0.0   176.712175  214.036355  214.034141   90.107849  74.861837  16.332492  16.332559  14.828102  14.828131  69.611041  1.050097  1.049251   72.309027  37.285715  6.845479  3.784011
0.2   176.213931  215.758991  215.756980   94.369077  76.226504  17.701413  17.701469  14.991442  14.991470  69.859610  1.003578  1.002837   74.463513  37.628806  6.908560  3.796008
0.4   175.728043  217.374526  217.372703   98.508726  77.494663  19.074762  19.074810  15.130395  15.130423  70.097954  0.960114  0.959465   76.545818  37.936642  6.967701  3.806251
0.6   175.254041  218.887215  218.885567  102.531415  78.670110  20.452197  20.452236  15.245968  15.245995  70.326501  0.919554  0.918988   78.558705  38.210634  7.023081  3.814816
0.8   174.791326  220.302410  220.300923  106.443018  79.757526  21.833238  21.833270  15.339457  15.339483  70.545842  0.881671  0.881177   80.506106  38.452813  7.074988  3.821824
1.0   174.339133  221.626879  221.625543  110.251014  80.762772  23.217247  23.217273  15.412520  15.412546  70.756759  0.846149  0.845720   82.393313  38.665918  7.123826  3.827445
1.2   173.897140  222.863583  222.862386  113.958592  81.688534  24.604016  24.604037  15.465843  15.465868  70.959523  0.812905  0.812533   84.222036  38.850813  7.169692  3.831718
1.4   173.464864  224.016850  224.015782  117.570485  82.538640  25.993183  25.993200  15.500461  15.500484  71.154591  0.781771  0.781450   85.995274  39.009039  7.212794  3.834732
1.6   173.041675  225.092308  225.091360  121.092860  83.318022  27.384246  27.384260  15.517733  15.517756  71.342577  0.752511  0.752237   87.717121  39.142709  7.253428  3.836612
1.8   172.627331  226.092163  226.091326  124.528102  84.028704  28.777070  28.777081  15.518165  15.518186  71.523675  0.725072  0.724837   89.388784  39.252422  7.291657  3.837383
2.0   172.221449  227.019871  227.019137  127.879976  84.673770  30.171385  30.171393  15.502574  15.502594  71.698231  0.699331  0.699132   91.012523  39.339330  7.327629  3.837107
2.2   171.823542  227.879821  227.879183  131.153270  85.257112  31.566827  31.566833  15.472006  15.472024  71.866702  0.675123  0.674957   92.591327  39.404967  7.361548  3.835869
2.4   171.433356  228.674293  228.673743  134.350460  85.780797  32.963245  32.963249  15.426989  15.427006  72.029298  0.652384  0.652245   94.126539  39.450004  7.393491  3.833701
2.6   171.050615  229.405798  229.405330  137.474282  86.247093  34.360465  34.360467  15.368109  15.368124  72.186257  0.631035  0.630921   95.619684  39.475205  7.423550  3.830641
2.8   170.674962  230.077541  230.077150  140.528223  86.658874  35.758244  35.758245  15.296120  15.296133  72.337894  0.610969  0.610877   97.072809  39.481611  7.451856  3.826742
3.0   170.306091  230.692293  230.691973  143.515298  87.018631  37.156382  37.156383  15.211670  15.211682  72.484478  0.592098  0.592025   98.487639  39.470090  7.478515  3.822048
3.2   169.943824  231.251664  231.251410  146.437265  87.327840  38.554789  38.554789  15.115128  15.115138  72.626150  0.574380  0.574324   99.865047  39.441070  7.503574  3.816577
3.4   169.587912  231.757888  231.757694  149.296556  87.588521  39.953314  39.953314  15.007013  15.007021  72.763119  0.557748  0.557707  101.206364  39.395213  7.527109  3.810359
