P               v        c11s        c22s        c33s       c12s        c13s        c23s       c44s       c55s       c66s      c24s      c15s       B_vrh      G_vrh       v_s       v_p
0.0   174.467404  233.618141  233.623696  110.246522  82.495327   22.873100   22.873392  16.875909  16.875775  75.873583 -0.531227 -0.530388   84.302535  41.414903  7.273215  3.962620
0.2   174.053816  234.379073  234.384008  113.750970  83.308694   24.172753   24.173019  16.933437  16.933311  75.892285 -0.463336 -0.462609   85.972977  41.552948  7.312713  3.964512
0.4   173.647342  235.098391  235.102768  117.184571  84.063722   25.479273   25.479515  16.975401  16.975282  75.916168 -0.401063 -0.400435   87.604282  41.671666  7.350245  3.965531
0.6   173.247684  235.775943  235.779815  120.550375  84.762398   26.792169   26.792387  17.002560  17.002449  75.944308 -0.343654 -0.343113   89.198231  41.772004  7.385949  3.965731
0.8   172.854611  236.412090  236.415502  123.850743  85.406387   28.111085   28.111282  17.015491  17.015388  75.976159 -0.290657 -0.290193   90.756078  41.854632  7.419914  3.965146
1.0   172.467944  237.007551  237.010545  127.087550  85.997137   29.435761   29.435939  17.014642  17.014546  76.011445 -0.241835 -0.241439   92.278710  41.920024  7.452201  3.963801
1.2   172.087459  237.562749  237.565364  130.263105  86.536301   30.765855   30.766013  17.000575  17.000487  76.049657 -0.196766 -0.196431   93.767338  41.968825  7.482895  3.961729
1.4   171.712896  238.077957  238.080223  133.380063  87.025727   32.100953   32.101094  16.973945  16.973865  76.090131 -0.154903 -0.154621   95.223414  42.001810  7.512104  3.958971
1.6   171.344131  238.554033  238.555980  136.439752  87.466518   33.440901   33.441025  16.935055  16.934982  76.132803 -0.116183 -0.115948   96.647462  42.019261  7.539857  3.955540
1.8   170.980986  238.991590  238.993246  139.444054  87.860086   34.785437   34.785545  16.884354  16.884288  76.177360 -0.080341 -0.080148   98.040390  42.021666  7.566218  3.951458
2.0   170.623244  239.391173  239.392560  142.395189  88.208066   36.134235   36.134327  16.822381  16.822323  76.223361 -0.047010 -0.046852   99.403336  42.009632  7.591264  3.946756
2.2   170.270749  239.753443  239.754582  145.294812  88.511723   37.487074   37.487152  16.749525  16.749475  76.270576 -0.015993 -0.015868  100.737060  41.983568  7.615048  3.941455
2.4   169.923376  240.079121  240.080031  148.144277  88.772126   38.843795   38.843858  16.666093  16.666052  76.318891  0.012811  0.012907  102.042113  41.943775  7.637602  3.935566
2.6   169.580973  240.368878  240.369576  150.945190  88.990512   40.204187   40.204237  16.572462  16.572428  76.368096  0.039580  0.039651  103.319223  41.890645  7.658974  3.929107
2.8   169.243343  240.623379  240.623880  153.699592  89.168430   41.567958   41.567994  16.469124  16.469099  76.417842  0.064610  0.064659  104.569405  41.824719  7.679233  3.922104
3.0   168.910391  240.843299  240.843616  156.408555  89.306726   42.935000   42.935023  16.356310  16.356293  76.468090  0.087938  0.087968  105.793026  41.746206  7.698400  3.914565
3.2   168.581999  241.029311  241.029458  159.073390  89.406416   44.305160   44.305171  16.234313  16.234305  76.518722  0.109668  0.109681  106.990611  41.655394  7.716509  3.906502
3.4   168.258037  241.182086  241.182074  161.695483  89.468575   45.678271   45.678270  16.103448  16.103449  76.569599  0.129919  0.129918  108.162738  41.552602  7.733594  3.897927
3.6   167.938331  241.302366  241.302203  164.276647  89.494624   47.054081   47.054068  15.964152  15.964162  76.620464  0.148913  0.148899  109.310283  41.438291  7.749715  3.888863
3.8   167.622818  241.390727  241.390424  166.817684  89.485158   48.432537   48.432513  15.816574  15.816593  76.671337  0.166636  0.166611  110.433414  41.312576  7.764878  3.879311
4.0   167.311391  241.447812  241.447377  169.319798  89.441103   49.813508   49.813472  15.660977  15.661005  76.722127  0.183168  0.183135  111.532580  41.175713  7.779113  3.869280
4.2   167.003941  241.474264  241.473705  171.784200  89.363389   51.196860   51.196813  15.497626  15.497665  76.772743  0.198593  0.198552  112.608235  41.027956  7.792447  3.858780
4.4   166.700318  241.470842  241.470165  174.212452  89.253271   52.582387   52.582329  15.326894  15.326942  76.823006  0.213062  0.213015  113.661108  40.869688  7.804925  3.847828
4.6   166.400469  241.438038  241.437250  176.605306  89.111253   53.970052   53.969982  15.148906  15.148964  76.872936  0.226564  0.226512  114.691294  40.700999  7.816553  3.836424
4.8   166.104303  241.376449  241.375555  178.963822  88.938126   55.359753   55.359672  14.963881  14.963951  76.922477  0.239150  0.239094  115.699127  40.522091  7.827351  3.824575
5.0   165.811730  241.286674  241.285680  181.289077  88.734694   56.751386   56.751294  14.772045  14.772125  76.971571  0.250873  0.250815  116.684957  40.333170  7.837342  3.812286
5.2   165.522624  241.169428  241.168338  183.582371  88.502013   58.144790   58.144688  14.573700  14.573791  77.020106  0.261833  0.261772  117.649350  40.134537  7.846559  3.799571
5.4   165.236928  241.025193  241.024012  185.844550  88.240632   59.539919   59.539805  14.368989  14.369092  77.068076  0.272037  0.271976  118.592432  39.926303  7.855011  3.786430
5.6   164.954570  240.854483  240.853214  188.076526  87.951172   60.936706   60.936581  14.158081  14.158196  77.115460  0.281509  0.281447  119.514385  39.708609  7.862710  3.772866
5.8   164.675474  240.657846  240.656494  190.279275  87.634326   62.335073   62.334937  13.941165  13.941293  77.162221  0.290284  0.290223  120.415463  39.481620  7.869672  3.758882
6.0   164.399544  240.435904  240.434471  192.453859  87.290921   63.734909   63.734762  13.718470  13.718611  77.208302  0.298415  0.298354  121.296043  39.245549  7.875919  3.744486
6.2   164.126702  240.189210  240.187700  194.601260  86.921663   65.136132   65.135974  13.490190  13.490344  77.253664  0.305937  0.305878  122.156386  39.000567  7.881468  3.729683
6.4   163.856902  239.918164  239.916579  196.722286  86.526974   66.538722   66.538551  13.256435  13.256602  77.298314  0.312851  0.312793  122.996481  38.746744  7.886322  3.714470
6.6   163.590076  239.623261  239.621605  198.817853  86.107457   67.942617   67.942435  13.017365  13.017547  77.342233  0.319177  0.319122  123.816485  38.484212  7.890491  3.698849
6.8   163.326158  239.304997  239.303272  200.888878  85.663711   69.347759   69.347565  12.773144  12.773340  77.385399  0.324939  0.324886  124.616557  38.213105  7.893988  3.682822
7.0   163.065051  238.964027  238.962234  202.936333  85.196588   70.754030   70.753825  12.524005  12.524216  77.427759  0.330184  0.330135  125.397148  37.933644  7.896836  3.666398
7.2   162.806722  238.600664  238.598806  204.961073  84.706396   72.161438   72.161220  12.270026  12.270253  77.469329  0.334906  0.334860  126.158079  37.645859  7.899032  3.649570
