P               v        c11s        c22s        c33s       c12s       c13s       c23s       c44s       c55s       c66s      c24s      c15s       B_vrh      G_vrh       v_s       v_p
0.0   179.884222  191.714170  191.697550   62.421977  64.021648   9.247050   9.246956  12.376270  12.376421  63.347863  3.266452  3.261383   56.903460  32.266069  6.250112  3.551571
0.2   179.237520  194.990524  194.975856   68.060713  66.329652  10.690314  10.690214  12.754035  12.754183  63.948559  3.020810  3.016453   59.928568  33.013734  6.363153  3.586010
0.4   178.616119  198.008795  197.995817   73.454816  68.454490  12.136632  12.136527  13.085379  13.085524  64.502316  2.801073  2.797319   62.793413  33.680635  6.465775  3.615757
0.6   178.017845  200.794972  200.783468   78.625225  70.411615  13.585064  13.584956  13.374560  13.374702  65.015265  2.603382  2.600143   65.515304  34.276235  6.559471  3.641478
0.8   177.441006  203.368372  203.358155   83.588220  72.213335  15.034947  15.034838  13.624868  13.625006  65.491576  2.425201  2.422401   68.106272  34.806888  6.645180  3.663590
1.0   176.883565  205.752996  205.743921   88.363428  73.874264  16.485426  16.485317  13.840286  13.840419  65.936750  2.263104  2.260685   70.581921  35.281017  6.724202  3.682672
1.2   176.344499  207.959720  207.951651   92.960690  75.402057  17.936180  17.936073  14.022774  14.022903  66.352793  2.115960  2.113867   72.948538  35.701840  6.796958  3.698910
1.4   175.822192  210.006959  209.999786   97.395581  76.808504  19.386586  19.386481  14.175475  14.175600  66.743654  1.981373  1.979565   75.217619  36.075463  6.864345  3.712706
1.6   175.315620  211.905795  211.899424  101.677944  78.101188  20.836310  20.836208  14.300355  14.300474  67.111480  1.858103  1.856543   77.395791  36.405325  6.926834  3.724267
1.8   174.823898  213.665638  213.659982  105.816313  79.286732  22.285086  22.284988  14.399108  14.399223  67.458008  1.745171  1.743825   79.488571  36.694259  6.984797  3.733758
2.0   174.345727  215.300837  215.295829  109.823196  80.374724  23.732457  23.732363  14.474245  14.474354  67.786126  1.640874  1.639718   81.504650  36.946821  7.038875  3.741466
2.2   173.880596  216.816417  216.811991  113.703501  81.369043  25.178322  25.178233  14.526722  14.526825  68.096601  1.544831  1.543839   83.446814  37.164374  7.089222  3.747456
2.4   173.427730  218.220525  218.216624  117.464688  82.275489  26.622464  26.622380  14.558016  14.558114  68.390905  1.456220  1.455373   85.319824  37.349350  7.136154  3.751868
2.6   172.986172  219.523381  219.519960  121.115969  83.101197  28.064586  28.064507  14.569961  14.570053  68.670953  1.373955  1.373235   87.129710  37.504857  7.180087  3.754886
2.8   172.555562  220.728415  220.725428  124.660807  83.848915  29.504643  29.504570  14.563224  14.563309  68.937221  1.297818  1.297209   88.878342  37.631782  7.221114  3.756550
3.0   172.135318  221.841568  221.838976  128.104792  84.523015  30.942497  30.942430  14.538904  14.538983  69.190716  1.227267  1.226756   90.569130  37.731833  7.259449  3.756952
3.2   171.724653  222.871040  222.868811  131.455493  85.129395  32.377931  32.377870  14.498497  14.498569  69.432893  1.161502  1.161077   92.206837  37.807434  7.295401  3.756229
3.4   171.323319  223.819094  223.817196  134.715277  85.669941  33.810935  33.810880  14.442453  14.442518  69.664030  1.100410  1.100060   93.792664  37.859127  7.329025  3.754402
3.6   170.930869  224.690177  224.688581  137.888428  86.148017  35.241422  35.241373  14.371608  14.371666  69.884840  1.043623  1.043339   95.329126  37.888150  7.360469  3.751533
3.8   170.546723  225.490175  225.488858  140.980528  86.567995  36.669261  36.669218  14.287056  14.287107  70.096302  0.990623  0.990397   96.819587  37.896180  7.389938  3.747713
4.0   170.170584  226.221934  226.220873  143.994411  86.932113  38.094416  38.094380  14.189344  14.189387  70.298831  0.941212  0.941037   98.265611  37.883958  7.417516  3.742976
4.2   169.802156  226.888287  226.887460  146.932901  87.242601  39.516854  39.516824  14.079016  14.079052  70.492838  0.895194  0.895062   99.668755  37.852221  7.443286  3.737354
4.4   169.441050  227.493036  227.492426  149.799709  87.502382  40.936510  40.936487  13.956793  13.956821  70.678912  0.852272  0.852179  101.031149  37.802002  7.467369  3.730899
4.6   169.086863  228.040168  228.039758  152.598718  87.714508  42.353314  42.353298  13.823429  13.823449  70.857671  0.812135  0.812075  102.355030  37.734391  7.489893  3.723665
4.8   168.739435  228.531089  228.530863  155.331408  87.880162  43.767275  43.767266  13.679205  13.679216  71.029285  0.774718  0.774686  103.641115  37.649695  7.510887  3.715660
5.0   168.398495  228.968386  228.968331  158.000357  88.001388  45.178363  45.178360  13.524618  13.524621  71.194127  0.739841  0.739833  104.890815  37.548580  7.530428  3.706915
5.2   168.063694  229.355437  229.355539  160.608905  88.080811  46.586529  46.586533  13.360312  13.360306  71.352704  0.707257  0.707270  106.106013  37.431946  7.548618  3.697473
5.4   167.734809  229.694336  229.694585  163.159159  88.120106  47.991758  47.991769  13.186694  13.186679  71.505310  0.676830  0.676861  107.287829  37.300312  7.565515  3.687354
5.6   167.411684  229.986499  229.986883  165.652572  88.120441  49.394053  49.394071  13.004042  13.004018  71.652124  0.648484  0.648530  108.436978  37.153992  7.581150  3.676568
5.8   167.094103  230.233930  230.234439  168.091163  88.083422  50.793401  50.793427  12.812744  12.812711  71.793426  0.622092  0.622149  109.554527  36.993475  7.595579  3.665134
6.0   166.781776  230.439410  230.440035  170.477724  88.011247  52.189772  52.189805  12.613336  12.613293  71.929615  0.597464  0.597531  110.642012  36.819486  7.608881  3.653087
6.2   166.474553  230.604274  230.605007  172.813610  87.905014  53.583169  53.583208  12.406079  12.406027  72.060866  0.574526  0.574600  111.700094  36.632312  7.621088  3.640433
6.4   166.172303  230.729710  230.730543  175.100031  87.765705  54.973596  54.973643  12.191209  12.191146  72.187327  0.553215  0.553295  112.729347  36.432200  7.632225  3.627179
6.6   165.874855  230.817282  230.818208  177.338567  87.594592  56.361053  56.361106  11.969030  11.968957  72.309208  0.533440  0.533524  113.730568  36.219508  7.642330  3.613336
6.8   165.581982  230.869106  230.870117  179.531373  87.393375  57.745524  57.745585  11.739952  11.739868  72.426801  0.515066  0.515153  114.704905  35.994762  7.651461  3.598927
7.0   165.293543  230.886457  230.887548  181.679732  87.163101  59.127015  59.127082  11.504226  11.504132  72.540271  0.498024  0.498111  115.652976  35.758232  7.659647  3.583958
7.2   165.009446  230.870138  230.871303  183.784439  86.904448  60.505535  60.505610  11.262011  11.261906  72.649713  0.482276  0.482364  116.575104  35.510044  7.666901  3.568428
