               v        c11s        c22s        c33s       c12s       c13s       c23s       c44s       c55s       c66s        bm_V        bm_R      bm_VRH        G_V        G_R      G_VRH       v_p       v_s
0.0   178.136866  204.400623  204.393218   77.706271  70.302401  12.954609  12.954606  13.776477  13.776563  66.854577   75.435927   55.530976   65.483452  44.900757  25.388242  35.144499  6.594785  3.688541
0.2   177.578917  206.729014  206.722385   82.519706  72.046156  14.354958  14.354947  14.024638  14.024723  67.235209   77.498136   58.460521   67.979329  45.404584  25.878884  35.641734  6.676315  3.708702
0.4   177.037838  208.900729  208.894797   87.168561  73.663090  15.759045  15.759027  14.240777  14.240860  67.594417   79.480712   61.267649   70.374181  45.867406  26.311317  36.089362  6.751956  3.726240
0.6   176.512845  210.923595  210.918285   91.660469  75.159274  17.166449  17.166425  14.426493  14.426574  67.933395   81.387405   63.958306   72.672855  46.291306  26.688399  36.489852  6.822037  3.741296
0.8   176.002824  212.809049  212.804297   96.006234  76.543010  18.576494  18.576466  14.584072  14.584150  68.254168   83.223502   66.543085   74.883294  46.679385  27.015321  36.847353  6.887176  3.754137
1.0   175.506726  214.567840  214.563593  100.216042  77.822143  19.988553  19.988523  14.715668  14.715744  68.558620   84.993990   69.031828   77.012909  47.034557  27.296906  37.165732  6.947946  3.765009
1.2   175.023944  216.205912  216.202120  104.295781  79.001399  21.402329  21.402297  14.822504  14.822577  68.847604   86.701763   71.428825   79.065294  47.358389  27.535238  37.446814  7.004578  3.774013
1.4   174.553559  217.732593  217.729214  108.254392  80.087754  22.817294  22.817261  14.906462  14.906532  69.122671   88.351202   73.742088   81.046645  47.653392  27.734236  37.693814  7.057530  3.781347
1.6   174.094894  219.154618  219.151615  112.098448  81.086403  24.233094  24.233060  14.968915  14.968981  69.384866   89.945533   75.976980   82.961256  47.921361  27.896511  37.908936  7.107102  3.787140
1.8   173.647448  220.476842  220.474179  115.832802  82.001249  25.649499  25.649465  15.010865  15.010928  69.634867   91.487139   78.136940   84.812039  48.163572  28.023726  38.093649  7.153477  3.791469
2.0   173.210494  221.706513  221.704162  119.464517  82.837879  27.066122  27.066089  15.033788  15.033848  69.873798   92.979486   80.227739   86.603613  48.381960  28.118699  38.250330  7.196977  3.794475
2.2   172.783530  222.848544  222.846479  122.998478  83.600201  28.482728  28.482695  15.038697  15.038753  70.102365   94.424972   82.252980   88.338976  48.577821  28.183170  38.380495  7.237797  3.796241
2.4   172.366166  223.906658  223.904852  126.438458  84.291267  29.899156  29.899125  15.026362  15.026414  70.321059   95.825451   84.215160   90.020305  48.752128  28.218329  38.485229  7.276066  3.796821
2.6   171.957852  224.886250  224.884684  129.789808  84.915353  31.315140  31.315111  14.997894  14.997943  70.530661   97.183550   86.118277   91.650914  48.906309  28.226117  38.566213  7.312001  3.796308
2.8   171.558134  225.791712  225.790366  133.056919  85.475986  32.730477  32.730450  14.954199  14.954243  70.731784   98.501425   87.965464   93.233444  49.041517  28.208038  38.624778  7.345769  3.794773
3.0   171.166738  226.625628  226.624484  136.242469  85.975347  34.145074  34.145049  14.895817  14.895856  70.924741   99.780391   89.758298   94.769345  49.158423  28.164826  38.661625  7.377449  3.792248
3.2   170.783272  227.391734  227.390775  139.350229  86.416476  35.558768  35.558746  14.823522  14.823557  71.110033  101.022302   91.499338   96.260820  49.258006  28.097700  38.677853  7.407175  3.788790
3.4   170.407265  228.094623  228.093836  142.384803  86.803075  36.971346  36.971326  14.738263  14.738294  71.288296  102.229417   93.191844   97.710631  49.341472  28.008231  38.674851  7.435120  3.784473
3.6   170.038544  228.735829  228.735200  145.347832  87.136493  38.382773  38.382756  14.640366  14.640392  71.459690  103.402545   94.836581   99.119563  49.409212  27.896746  38.652979  7.461318  3.779307
3.8   169.676817  229.318131  229.317647  148.242160  87.419038  39.792942  39.792928  14.530408  14.530429  71.624565  104.543084   96.435330  100.489207  49.461949  27.764078  38.613013  7.485861  3.773331
4.0   169.321712  229.845063  229.844714  151.071380  87.653609  41.201704  41.201693  14.409125  14.409141  71.783386  105.652796   97.990463  101.821630  49.500607  27.611353  38.555980  7.508871  3.766596
4.2   168.972992  230.318847  230.318623  153.837787  87.842077  42.608982  42.608975  14.276979  14.276990  71.936423  106.732814   99.503325  103.118069  49.525760  27.439188  38.482474  7.530417  3.759128
4.4   168.630475  230.741156  230.741047  156.543136  87.985874  44.014732  44.014728  14.134323  14.134329  72.083867  107.784001  100.974822  104.379411  49.537838  27.247985  38.392911  7.550541  3.750943
4.6   168.293925  231.114174  231.114171  159.189686  88.086838  45.418878  45.418878  13.981613  13.981613  72.225983  108.807469  102.406269  105.606869  49.537404  27.038345  38.287875  7.569312  3.742067
4.8   167.963014  231.441017  231.441112  161.780632  88.147557  46.821298  46.821301  13.819498  13.819493  72.363165  109.804786  103.799699  106.802242  49.525272  26.811222  38.168247  7.586831  3.732543
5.0   167.637627  231.722699  231.722886  164.317058  88.168926  48.221978  48.221985  13.648193  13.648182  72.495517  110.776491  105.155517  107.966004  49.501695  26.566776  38.034235  7.603118  3.722374
5.2   167.317589  231.960822  231.961094  166.800636  88.152315  49.620875  49.620886  13.468032  13.468015  72.623222  111.723411  106.474583  109.098997  49.467086  26.305385  37.886235  7.618217  3.711576
5.4   167.002712  232.157116  232.157466  169.233168  88.099196  51.017937  51.017952  13.279379  13.279356  72.746484  112.646436  107.757857  110.202146  49.421888  26.027479  37.724684  7.632175  3.700166
5.6   166.692718  232.314183  232.314605  171.617352  88.011753  52.413073  52.413092  13.082778  13.082749  72.865618  113.546886  109.006982  111.276934  49.366777  25.733816  37.550296  7.645074  3.688178
5.8   166.387539  232.432598  232.433087  173.953803  87.890514  53.806288  53.806311  12.878350  12.878314  72.980676  114.425079  110.222011  112.323545  49.301893  25.424390  37.363142  7.656918  3.675607
6.0   166.087026  232.513710  232.514262  176.243933  87.736639  55.197548  55.197575  12.666378  12.666336  73.091808  115.281714  111.403605  113.342660  49.227581  25.099488  37.163535  7.667741  3.662463
6.2   165.791027  232.558900  232.559509  178.489182  87.551313  56.586822  56.586853  12.447152  12.447104  73.199172  116.117507  112.552448  114.334978  49.144192  24.759409  36.951801  7.677579  3.648758
6.4   165.499321  232.570215  232.570878  180.691699  87.336275  57.974044  57.974079  12.221101  12.221046  73.303006  116.933510  113.669774  115.301642  49.052257  24.404704  36.728480  7.686489  3.634515
6.6   165.211836  232.548279  232.548991  182.852126  87.092084  59.359216  59.359255  11.988356  11.988294  73.403373  117.730056  114.755644  116.242850  48.951927  24.035383  36.493655  7.694481  3.619730
6.8   164.928460  232.494075  232.494832  184.971487  86.819593  60.742321  60.742365  11.749124  11.749055  73.500377  118.507661  115.810417  117.159039  48.843452  23.651592  36.247522  7.701573  3.604408
7.0   164.649071  232.408711  232.409510  187.050935  86.519761  62.123339  62.123386  11.503638  11.503561  73.594140  119.266903  116.834551  118.050727  48.727112  23.253523  35.990318  7.707792  3.588552
7.2   164.373508  232.293653  232.294491  189.092019  86.193850  63.502232  63.502284  11.252204  11.252120  73.684828  120.008544  117.828833  118.918688  48.603284  22.841517  35.722400  7.713174  3.572178
7.4   164.101660  232.149887  232.150761  191.095759  85.842715  64.878984  64.879041  10.995030  10.994939  73.772547  120.733099  118.793612  119.763355  48.472214  22.415718  35.443966  7.717742  3.555287
7.6   163.833462  231.977973  231.978880  193.062709  85.466853  66.253597  66.253657  10.732234  10.732135  73.857353  121.440864  119.728851  120.584857  48.334041  21.976095  35.155068  7.721498  3.537874
7.8   163.568814  231.778803  231.779740  194.993786  85.067043  67.626056  67.626121  10.464002  10.463896  73.939341  122.132308  120.634815  121.383561  48.188988  21.522755  34.855872  7.724462  3.519939
8.0   163.307614  231.553270  231.554235  196.889911  84.644062  68.996350  68.996419  10.190522  10.190409  74.018607  122.807897  121.511771  122.159834  48.037280  21.055804  34.546542  7.726649  3.501484
8.2   163.049701  231.302840  231.303830  198.752665  84.199175  70.364444  70.364518   9.912103   9.911981  74.095313  123.468401  122.360591  122.914496  47.879293  20.575613  34.227453  7.728098  3.482526
8.4   162.795051  231.027700  231.028713  200.582150  83.732560  71.730352  71.730430   9.628783   9.628653  74.169472  124.113916  123.180793  123.647354  47.715063  20.081961  33.898512  7.728801  3.463045
